firm,matched_sbir_company,notice_class,award_number,agency,posted_date,sbir_match,n_prior_sbir,in_481,title,notice_id
Corneturn LLC,CORNERTURN LLC,award,N68335-18-D-0002,DEPT OF DEFENSE,2018-02-06 10:19:51-05,fuzzy,6,True,Small Business Innovative Research (SBIR) Phase III for the continued development and production of the AN/AQS-22 Airborne Low Frequency Sonar (ALFS) Transducer,b588d44cda6ba2380026ac86626c8a93
"MIDE TECHNOLOGY CORPORATION 200 Boston Avenue, Ste. 1000 MEDFORD MA 02155-4242 USA",MIDE TECHNOLOGY CORP,award,N64498-17-D-0013,DEPT OF DEFENSE,2017-10-12 11:31:06-04,fuzzy,148,False,Mide Phase III SBIR,bc58283f3a680b0cb6d66d1d2bd2c9f5
"Premier Solutions HI, LLC HI 5140 US","Premier Solutions HI, LLC",award,M00318-21-P-0030,DEPT OF DEFENSE,2021-08-25 17:43:43.528-04,fuzzy,6,False,FACET CLIPBOARD & Scanning Services,9fad726177f943749472c38d0a7e70f1
"Mercury Systems, Inc.","MERCURY DATA SYSTEMS, INC.",intent_sole_source,,DEPT OF DEFENSE,2021-07-29 15:42:13.34-04,fuzzy,5,False,"Airborne Threat Simulation Organization Radar Modulators (Modulator, Radar MD-1390/ULQ-21(V))",e608ef42e87c4321afa84816f21f22f5
null,,intent_sole_source,,"VETERANS AFFAIRS, DEPARTMENT OF",2021-07-22 13:05:07.833-04,none,0,False,AF22--36C10B21Q0052 | Integrated Training Support RFI (SBIR),1a3ad01b5a624590b4a4b48db2b723d1
SYSTEMS ENGINEERING ASSOCIATES CORPORATION Middletown RI USA,SYSTEMS ENGINEERING INC,award,N6660421DK000,DEPT OF DEFENSE,2021-07-12 11:39:22.109-04,fuzzy,20,False,SBIR Phase III EW HMI,d8c2d8fbd7094912a61401087c3ca5ec
Physical Optics Corporation Torrance CA USA,Physical Optics Corporation,award,N00421-21-D-0024,DEPT OF DEFENSE,2021-06-07 08:17:34.755-04,fuzzy,1974,False,Post-Award Synopsis: Engineering Integrated Logistics Support for the T-45 Digital Data Set (DDS),32c944bd174441a3bcad4bd5b9bbfd35
SYSTEMS ENGINEERING ASSOCIATES CORPORATION Middletown RI USA,SYSTEMS ENGINEERING INC,award,N66604-21-D-E100,DEPT OF DEFENSE,2021-05-25 11:00:51.655-04,fuzzy,20,False,Submarine Portable Launch System SBIR Phase III,e35614fddbfd4e44b466add34e6d183d
Progeny Systems Manassas VA USA,"PROGENY SYSTEMS, LLC",award,N6660421DH100,DEPT OF DEFENSE,2021-05-13 13:48:18.219-04,fuzzy,309,True,DARTS Engineering Services SBIR Phase III,8ab819e2888e484bbf26d856f98fb97d
"ADVANCED SYSTEMS/SUPPORTABILITY ENGINEERING TECHNOLOGIES AND TOOLS, INC. Manassas VA USA",ADVANCED SYSTEMS & TECHNOLOGIES INC,award,N0002421C6104,DEPT OF DEFENSE,2021-04-22 09:13:21.316-04,fuzzy,74,False,SBIR Phase III for A4T and AN/BQQ- 10 Sonar Array Software Analysis Capability,e6eb6cd7d9434df097e73a0552bbf9d1
Mide Technology Corporation Woburn MA 01801-2027 USA,MIDE TECHNOLOGY CORP,award,N64498-21-D-0001,DEPT OF DEFENSE,2021-03-02 17:34:13.645-05,fuzzy,148,False,MIDE SBIR Phase III Bulkhead Seals,a5ae072532474484bafbafbfe8ffa8bf
