report_year,table_number,jurisdiction,program,phase,published_count,recomputed_count,signed_difference,absolute_difference,comparison_status
2022,20,DE,STTR,Phase II,2,2,0,0,exact
2022,20,FL,SBIR,Phase I,83,90,7,7,unresolved
2022,20,FL,SBIR,Phase II,89,94,5,5,unresolved
2022,20,FL,STTR,Phase I,42,45,3,3,unresolved
2022,20,FL,STTR,Phase II,12,13,1,1,unresolved
2022,20,GA,SBIR,Phase I,29,31,2,2,unresolved
2022,20,GA,SBIR,Phase II,28,29,1,1,unresolved
2022,20,GA,STTR,Phase I,21,21,0,0,exact
2022,20,GA,STTR,Phase II,5,5,0,0,exact
2022,20,HI,SBIR,Phase I,20,20,0,0,exact
2022,20,HI,SBIR,Phase II,19,19,0,0,exact
2022,20,HI,STTR,Phase I,4,4,0,0,exact
2022,20,HI,STTR,Phase II,3,3,0,0,exact
2022,20,IA,SBIR,Phase I,14,14,0,0,exact
2022,20,IA,SBIR,Phase II,4,4,0,0,exact
2022,20,IA,STTR,Phase I,2,2,0,0,exact
2022,20,IA,STTR,Phase II,0,0,0,0,exact
2022,20,ID,SBIR,Phase I,9,8,-1,1,unresolved
2022,20,ID,SBIR,Phase II,5,3,-2,2,unresolved
2022,20,ID,STTR,Phase I,2,2,0,0,exact
2022,20,ID,STTR,Phase II,1,1,0,0,exact
2022,20,IL,SBIR,Phase I,60,65,5,5,unresolved
2022,20,IL,SBIR,Phase II,56,57,1,1,unresolved
2022,20,IL,STTR,Phase I,17,19,2,2,unresolved
2022,20,IL,STTR,Phase II,14,16,2,2,unresolved
2022,20,IN,SBIR,Phase I,22,22,0,0,exact
2022,20,IN,SBIR,Phase II,21,23,2,2,unresolved
2022,20,IN,STTR,Phase I,13,13,0,0,exact
2022,20,IN,STTR,Phase II,5,5,0,0,exact
2022,20,KS,SBIR,Phase I,8,7,-1,1,unresolved
2022,20,KS,SBIR,Phase II,8,8,0,0,exact
2022,20,KS,STTR,Phase I,5,5,0,0,exact
2022,20,KS,STTR,Phase II,0,0,0,0,exact
2022,20,KY,SBIR,Phase I,13,13,0,0,exact
2022,20,KY,SBIR,Phase II,11,11,0,0,exact
2022,20,KY,STTR,Phase I,7,5,-2,2,unresolved
2022,20,KY,STTR,Phase II,5,5,0,0,exact
2022,20,LA,SBIR,Phase I,10,10,0,0,exact
2022,20,LA,SBIR,Phase II,12,12,0,0,exact
2022,20,LA,STTR,Phase I,10,10,0,0,exact
2022,20,LA,STTR,Phase II,2,2,0,0,exact
2022,20,MA,SBIR,Phase I,299,303,4,4,unresolved
2022,20,MA,SBIR,Phase II,234,235,1,1,unresolved
2022,20,MA,STTR,Phase I,72,73,1,1,unresolved
2022,20,MA,STTR,Phase II,29,30,1,1,unresolved
2022,20,MD,SBIR,Phase I,104,110,6,6,unresolved
2022,20,MD,SBIR,Phase II,84,82,-2,2,unresolved
2022,20,MD,STTR,Phase I,34,40,6,6,unresolved
2022,20,MD,STTR,Phase II,11,9,-2,2,unresolved
2022,20,ME,SBIR,Phase I,4,4,0,0,exact
2022,20,ME,SBIR,Phase II,2,2,0,0,exact
2022,20,ME,STTR,Phase I,1,1,0,0,exact
2022,20,ME,STTR,Phase II,0,0,0,0,exact
2022,20,MI,SBIR,Phase I,53,54,1,1,unresolved
2022,20,MI,SBIR,Phase II,44,42,-2,2,unresolved
2022,20,MI,STTR,Phase I,22,22,0,0,exact
2022,20,MI,STTR,Phase II,7,7,0,0,exact
2022,20,MN,SBIR,Phase I,35,35,0,0,exact
2022,20,MN,SBIR,Phase II,31,33,2,2,unresolved
2022,20,MN,STTR,Phase I,15,14,-1,1,unresolved
2022,20,MN,STTR,Phase II,5,4,-1,1,unresolved
2022,20,MO,SBIR,Phase I,18,19,1,1,unresolved
2022,20,MO,SBIR,Phase II,17,18,1,1,unresolved
2022,20,MO,STTR,Phase I,8,7,-1,1,unresolved
2022,20,MO,STTR,Phase II,4,3,-1,1,unresolved
2022,20,MS,SBIR,Phase I,1,1,0,0,exact
2022,20,MS,SBIR,Phase II,0,0,0,0,exact
2022,20,MS,STTR,Phase I,0,0,0,0,exact
2022,20,MS,STTR,Phase II,1,1,0,0,exact
2022,20,MT,SBIR,Phase I,10,10,0,0,exact
2022,20,MT,SBIR,Phase II,8,8,0,0,exact
2022,20,MT,STTR,Phase I,5,4,-1,1,unresolved
2022,20,MT,STTR,Phase II,2,2,0,0,exact
2022,20,NC,SBIR,Phase I,84,92,8,8,unresolved
2022,20,NC,SBIR,Phase II,74,80,6,6,unresolved
2022,20,NC,STTR,Phase I,35,33,-2,2,unresolved
2022,20,NC,STTR,Phase II,9,9,0,0,exact
2022,20,ND,SBIR,Phase I,1,2,1,1,unresolved
2022,20,ND,SBIR,Phase II,0,0,0,0,exact
2022,20,ND,STTR,Phase I,0,0,0,0,exact
2022,20,ND,STTR,Phase II,0,0,0,0,exact
2022,20,NE,SBIR,Phase I,5,4,-1,1,unresolved
2022,20,NE,SBIR,Phase II,6,6,0,0,exact
2022,20,NE,STTR,Phase I,0,0,0,0,exact
2022,20,NE,STTR,Phase II,1,1,0,0,exact
2022,20,NH,SBIR,Phase I,33,34,1,1,unresolved
2022,20,NH,SBIR,Phase II,33,31,-2,2,unresolved
2022,20,NH,STTR,Phase I,16,16,0,0,exact
2022,20,NH,STTR,Phase II,1,1,0,0,exact
2022,20,NJ,SBIR,Phase I,41,42,1,1,unresolved
2022,20,NJ,SBIR,Phase II,41,45,4,4,unresolved
2022,20,NJ,STTR,Phase I,19,21,2,2,unresolved
2022,20,NJ,STTR,Phase II,6,6,0,0,exact
2022,20,NM,SBIR,Phase I,30,30,0,0,exact
2022,20,NM,SBIR,Phase II,25,25,0,0,exact
2022,20,NM,STTR,Phase I,8,8,0,0,exact
2022,20,NM,STTR,Phase II,8,7,-1,1,unresolved
2022,20,NV,SBIR,Phase I,4,5,1,1,unresolved
2022,20,NV,SBIR,Phase II,3,4,1,1,unresolved
2022,20,NV,STTR,Phase I,2,3,1,1,unresolved
2022,20,NV,STTR,Phase II,1,1,0,0,exact
2022,20,NY,SBIR,Phase I,136,136,0,0,exact
2022,20,NY,SBIR,Phase II,116,113,-3,3,unresolved
2022,20,NY,STTR,Phase I,36,34,-2,2,unresolved
2022,20,NY,STTR,Phase II,14,15,1,1,unresolved
2022,20,OH,SBIR,Phase I,116,114,-2,2,unresolved
2022,20,OH,SBIR,Phase II,83,83,0,0,exact
2022,20,OH,STTR,Phase I,45,45,0,0,exact
2022,20,OH,STTR,Phase II,19,21,2,2,unresolved
2022,20,OK,SBIR,Phase I,9,10,1,1,unresolved
2022,20,OK,SBIR,Phase II,7,6,-1,1,unresolved
2022,20,OK,STTR,Phase I,5,4,-1,1,unresolved
2022,20,OK,STTR,Phase II,6,5,-1,1,unresolved
2022,20,OR,SBIR,Phase I,39,38,-1,1,unresolved
2022,20,OR,SBIR,Phase II,23,23,0,0,exact
2022,20,OR,STTR,Phase I,9,8,-1,1,unresolved
2022,20,OR,STTR,Phase II,1,1,0,0,exact
2022,20,PA,SBIR,Phase I,114,109,-5,5,unresolved
2022,20,PA,SBIR,Phase II,105,102,-3,3,unresolved
2022,20,PA,STTR,Phase I,33,34,1,1,unresolved
2022,20,PA,STTR,Phase II,12,12,0,0,exact
2022,20,PR,SBIR,Phase I,4,4,0,0,exact
2022,20,PR,SBIR,Phase II,1,1,0,0,exact
2022,20,PR,STTR,Phase I,0,0,0,0,exact
2022,20,PR,STTR,Phase II,0,0,0,0,exact
2022,20,RI,SBIR,Phase I,14,13,-1,1,unresolved
2022,20,RI,SBIR,Phase II,5,6,1,1,unresolved
2022,20,RI,STTR,Phase I,4,4,0,0,exact
2022,20,RI,STTR,Phase II,1,0,-1,1,unresolved
2022,20,SC,SBIR,Phase I,14,16,2,2,unresolved
2022,20,SC,SBIR,Phase II,13,13,0,0,exact
2022,20,SC,STTR,Phase I,13,14,1,1,unresolved
2022,20,SC,STTR,Phase II,1,2,1,1,unresolved
2022,20,SD,SBIR,Phase I,5,4,-1,1,unresolved
2022,20,SD,SBIR,Phase II,2,1,-1,1,unresolved
2022,20,SD,STTR,Phase I,1,1,0,0,exact
2022,20,SD,STTR,Phase II,2,2,0,0,exact
2022,20,TN,SBIR,Phase I,17,16,-1,1,unresolved
2022,20,TN,SBIR,Phase II,17,16,-1,1,unresolved
2022,20,TN,STTR,Phase I,14,14,0,0,exact
2022,20,TN,STTR,Phase II,6,6,0,0,exact
2022,20,TX,SBIR,Phase I,174,179,5,5,unresolved
2022,20,TX,SBIR,Phase II,138,143,5,5,unresolved
2022,20,TX,STTR,Phase I,73,72,-1,1,unresolved
2022,20,TX,STTR,Phase II,22,21,-1,1,unresolved
2022,20,UT,SBIR,Phase I,46,47,1,1,unresolved
2022,20,UT,SBIR,Phase II,27,29,2,2,unresolved
2022,20,UT,STTR,Phase I,11,11,0,0,exact
2022,20,UT,STTR,Phase II,7,7,0,0,exact
2022,20,VA,SBIR,Phase I,168,165,-3,3,unresolved
2022,20,VA,SBIR,Phase II,135,132,-3,3,unresolved
2022,20,VA,STTR,Phase I,58,57,-1,1,unresolved
2022,20,VA,STTR,Phase II,18,19,1,1,unresolved
2022,20,VT,SBIR,Phase I,4,4,0,0,exact
2022,20,VT,SBIR,Phase II,7,8,1,1,unresolved
2022,20,VT,STTR,Phase I,2,2,0,0,exact
2022,20,VT,STTR,Phase II,1,1,0,0,exact
2022,20,WA,SBIR,Phase I,60,57,-3,3,unresolved
2022,20,WA,SBIR,Phase II,53,52,-1,1,unresolved
2022,20,WA,STTR,Phase I,15,14,-1,1,unresolved
2022,20,WA,STTR,Phase II,12,12,0,0,exact
2022,20,WI,SBIR,Phase I,26,26,0,0,exact
2022,20,WI,SBIR,Phase II,20,19,-1,1,unresolved
2022,20,WI,STTR,Phase I,8,8,0,0,exact
2022,20,WI,STTR,Phase II,2,3,1,1,unresolved
2022,20,WV,SBIR,Phase I,2,3,1,1,unresolved
2022,20,WV,SBIR,Phase II,4,4,0,0,exact
2022,20,WV,STTR,Phase I,2,2,0,0,exact
2022,20,WV,STTR,Phase II,0,0,0,0,exact
2022,20,WY,SBIR,Phase I,9,8,-1,1,unresolved
2022,20,WY,SBIR,Phase II,7,8,1,1,unresolved
2022,20,WY,STTR,Phase I,1,2,1,1,unresolved
2022,20,WY,STTR,Phase II,0,0,0,0,exact
