report_year,table_number,jurisdiction,program,phase,published_count,recomputed_count,signed_difference,absolute_difference,comparison_status
2020,18,MS,SBIR,Phase II,2,1,-1,1,unresolved
2020,18,MS,STTR,Phase I,0,0,0,0,exact
2020,18,MS,STTR,Phase II,0,0,0,0,exact
2020,18,MT,SBIR,Phase I,8,10,2,2,unresolved
2020,18,MT,SBIR,Phase II,7,9,2,2,unresolved
2020,18,MT,STTR,Phase I,6,6,0,0,exact
2020,18,MT,STTR,Phase II,2,2,0,0,exact
2020,18,NC,SBIR,Phase I,96,109,13,13,unresolved
2020,18,NC,SBIR,Phase II,73,79,6,6,unresolved
2020,18,NC,STTR,Phase I,31,32,1,1,unresolved
2020,18,NC,STTR,Phase II,10,11,1,1,unresolved
2020,18,ND,SBIR,Phase I,2,4,2,2,unresolved
2020,18,ND,SBIR,Phase II,0,0,0,0,exact
2020,18,ND,STTR,Phase I,0,0,0,0,exact
2020,18,ND,STTR,Phase II,0,0,0,0,exact
2020,18,NE,SBIR,Phase I,12,13,1,1,unresolved
2020,18,NE,SBIR,Phase II,3,3,0,0,exact
2020,18,NE,STTR,Phase I,2,2,0,0,exact
2020,18,NE,STTR,Phase II,0,0,0,0,exact
2020,18,NH,SBIR,Phase I,37,40,3,3,unresolved
2020,18,NH,SBIR,Phase II,40,47,7,7,unresolved
2020,18,NH,STTR,Phase I,8,7,-1,1,unresolved
2020,18,NH,STTR,Phase II,2,2,0,0,exact
2020,18,NJ,SBIR,Phase I,67,68,1,1,unresolved
2020,18,NJ,SBIR,Phase II,37,39,2,2,unresolved
2020,18,NJ,STTR,Phase I,24,23,-1,1,unresolved
2020,18,NJ,STTR,Phase II,1,1,0,0,exact
2020,18,NM,SBIR,Phase I,33,34,1,1,unresolved
2020,18,NM,SBIR,Phase II,12,14,2,2,unresolved
2020,18,NM,STTR,Phase I,8,6,-2,2,unresolved
2020,18,NM,STTR,Phase II,6,5,-1,1,unresolved
2020,18,NV,SBIR,Phase I,11,15,4,4,unresolved
2020,18,NV,SBIR,Phase II,2,3,1,1,unresolved
2020,18,NV,STTR,Phase I,0,1,1,1,unresolved
2020,18,NV,STTR,Phase II,1,1,0,0,exact
2020,18,NY,SBIR,Phase I,182,172,-10,10,unresolved
2020,18,NY,SBIR,Phase II,100,99,-1,1,unresolved
2020,18,NY,STTR,Phase I,32,32,0,0,exact
2020,18,NY,STTR,Phase II,17,17,0,0,exact
2020,18,OH,SBIR,Phase I,150,146,-4,4,unresolved
2020,18,OH,SBIR,Phase II,83,82,-1,1,unresolved
2020,18,OH,STTR,Phase I,37,37,0,0,exact
2020,18,OH,STTR,Phase II,12,11,-1,1,unresolved
2020,18,OK,SBIR,Phase I,11,11,0,0,exact
2020,18,OK,SBIR,Phase II,7,9,2,2,unresolved
