report_year,jurisdiction,program,phase,published_count,recomputed_count,delta,tolerance,within_tolerance,published_dollars,recomputed_dollars,dollar_delta,classification
2020,KY,STTR,Phase II,1,1,0,6,True,3712351,1695325,-2017026,revised_upstream
2020,LA,SBIR,Phase I,14,17,3,6,True,1945315,1980577,35262,revised_upstream
2020,LA,SBIR,Phase II,9,9,0,6,True,8899567,9232425,332858,revised_upstream
2020,LA,STTR,Phase I,6,6,0,6,True,887072,928505,41433,revised_upstream
2020,LA,STTR,Phase II,1,1,0,6,True,750165,750165,0,exact
2020,MA,SBIR,Phase I,428,429,1,86,True,81684186,79293816,-2390370,revised_upstream
2020,MA,SBIR,Phase II,204,210,6,41,True,278529428,283609462,5080034,revised_upstream
2020,MA,STTR,Phase I,60,60,0,12,True,11893676,11786198,-107478,revised_upstream
2020,MA,STTR,Phase II,26,26,0,6,True,34662993,31037305,-3625688,revised_upstream
2020,MD,SBIR,Phase I,178,201,23,36,True,32723301,36444540,3721239,revised_upstream
2020,MD,SBIR,Phase II,112,116,4,22,True,136379150,153767332,17388182,revised_upstream
2020,MD,STTR,Phase I,41,40,-1,8,True,7303524,7772746,469222,revised_upstream
2020,MD,STTR,Phase II,15,16,1,6,True,14668705,20669718,6001013,revised_upstream
2020,ME,SBIR,Phase I,8,9,1,6,True,1124669,1181163,56494,revised_upstream
2020,ME,SBIR,Phase II,4,4,0,6,True,3738547,3669328,-69219,revised_upstream
2020,ME,STTR,Phase I,2,2,0,6,True,450000,450000,0,exact
2020,ME,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,MH,SBIR,Phase I,0,0,0,6,True,0,0,0,exact
2020,MH,SBIR,Phase II,0,0,0,6,True,0,0,0,exact
2020,MH,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2020,MH,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,MI,SBIR,Phase I,81,81,0,16,True,13062758,12643609,-419149,revised_upstream
2020,MI,SBIR,Phase II,40,44,4,8,True,56828965,47624165,-9204800,revised_upstream
2020,MI,STTR,Phase I,15,15,0,6,True,3458331,3188292,-270039,revised_upstream
2020,MI,STTR,Phase II,11,11,0,6,True,12057473,11484673,-572800,revised_upstream
2020,MN,SBIR,Phase I,41,45,4,8,True,9632403,10621712,989309,revised_upstream
