year,juris,Program,Phase,published,recomputed,delta
2017,CT,STTR,Phase II,1,2,1
2017,DC,SBIR,Phase I,11,8,-3
2017,DC,SBIR,Phase II,5,6,1
2017,DC,STTR,Phase I,3,4,1
2017,DC,STTR,Phase II,0,0,0
2017,DE,SBIR,Phase I,21,15,-6
2017,DE,SBIR,Phase II,15,11,-4
2017,DE,STTR,Phase I,8,5,-3
2017,DE,STTR,Phase II,3,4,1
2017,FL,SBIR,Phase I,96,100,4
2017,FL,SBIR,Phase II,49,56,7
2017,FL,STTR,Phase I,18,20,2
2017,FL,STTR,Phase II,10,9,-1
2017,GA,SBIR,Phase I,35,32,-3
2017,GA,SBIR,Phase II,20,20,0
2017,GA,STTR,Phase I,13,13,0
2017,GA,STTR,Phase II,3,3,0
2017,HI,SBIR,Phase I,23,22,-1
2017,HI,SBIR,Phase II,18,18,0
2017,HI,STTR,Phase I,2,2,0
2017,HI,STTR,Phase II,0,1,1
2017,IA,SBIR,Phase I,11,11,0
2017,IA,SBIR,Phase II,9,9,0
2017,IA,STTR,Phase I,1,1,0
2017,IA,STTR,Phase II,0,0,0
2017,ID,SBIR,Phase I,0,1,1
2017,ID,SBIR,Phase II,3,1,-2
2017,ID,STTR,Phase I,0,0,0
2017,ID,STTR,Phase II,0,0,0
2017,IL,SBIR,Phase I,69,68,-1
2017,IL,SBIR,Phase II,39,38,-1
2017,IL,STTR,Phase I,17,15,-2
2017,IL,STTR,Phase II,7,6,-1
2017,IN,SBIR,Phase I,30,32,2
2017,IN,SBIR,Phase II,16,17,1
2017,IN,STTR,Phase I,7,7,0
2017,IN,STTR,Phase II,1,1,0
2017,KS,SBIR,Phase I,9,9,0
2017,KS,SBIR,Phase II,3,3,0
2017,KS,STTR,Phase I,0,0,0
2017,KS,STTR,Phase II,2,2,0
2017,KY,SBIR,Phase I,19,21,2
2017,KY,SBIR,Phase II,12,10,-2
2017,KY,STTR,Phase I,4,3,-1
2017,KY,STTR,Phase II,2,3,1
2017,LA,SBIR,Phase I,9,9,0
2017,LA,SBIR,Phase II,4,3,-1
2017,LA,STTR,Phase I,1,1,0
2017,LA,STTR,Phase II,1,1,0
2017,MA,SBIR,Phase I,353,361,8
2017,MA,SBIR,Phase II,213,224,11
2017,MA,STTR,Phase I,55,56,1
2017,MA,STTR,Phase II,25,25,0
2017,MD,SBIR,Phase I,163,167,4
2017,MD,SBIR,Phase II,82,86,4
2017,MD,STTR,Phase I,32,38,6
2017,MD,STTR,Phase II,15,16,1
2017,ME,SBIR,Phase I,4,6,2
2017,ME,SBIR,Phase II,2,3,1
2017,ME,STTR,Phase I,0,0,0
2017,ME,STTR,Phase II,0,0,0
2017,MI,SBIR,Phase I,60,59,-1
2017,MI,SBIR,Phase II,43,45,2
2017,MI,STTR,Phase I,20,19,-1
2017,MI,STTR,Phase II,3,4,1
2017,MN,SBIR,Phase I,62,60,-2
2017,MN,SBIR,Phase II,27,26,-1
2017,MN,STTR,Phase I,6,6,0
2017,MN,STTR,Phase II,4,4,0
2017,MO,SBIR,Phase I,22,21,-1
2017,MO,SBIR,Phase II,13,14,1
2017,MO,STTR,Phase I,9,7,-2
2017,MO,STTR,Phase II,0,0,0
2017,MS,SBIR,Phase I,6,5,-1
2017,MS,SBIR,Phase II,5,4,-1
2017,MS,STTR,Phase I,1,1,0
2017,MS,STTR,Phase II,0,0,0
2017,MT,SBIR,Phase I,15,15,0
2017,MT,SBIR,Phase II,9,9,0
2017,MT,STTR,Phase I,4,4,0
2017,MT,STTR,Phase II,2,2,0
2017,NC,SBIR,Phase I,79,85,6
2017,NC,SBIR,Phase II,47,53,6
2017,NC,STTR,Phase I,22,23,1
2017,NC,STTR,Phase II,9,9,0
2017,ND,SBIR,Phase I,1,1,0
2017,ND,SBIR,Phase II,1,1,0
2017,ND,STTR,Phase I,1,1,0
2017,ND,STTR,Phase II,0,0,0
2017,NE,SBIR,Phase I,6,7,1
2017,NE,SBIR,Phase II,7,8,1
2017,NE,STTR,Phase I,0,0,0
2017,NE,STTR,Phase II,1,1,0
2017,NH,SBIR,Phase I,39,37,-2
2017,NH,SBIR,Phase II,27,30,3
2017,NH,STTR,Phase I,10,11,1
2017,NH,STTR,Phase II,1,1,0
2017,NJ,SBIR,Phase I,60,59,-1
2017,NJ,SBIR,Phase II,38,39,1
2017,NJ,STTR,Phase I,16,15,-1
2017,NJ,STTR,Phase II,4,5,1
2017,NM,SBIR,Phase I,46,44,-2
2017,NM,SBIR,Phase II,20,22,2
2017,NM,STTR,Phase I,5,6,1
2017,NM,STTR,Phase II,5,5,0
2017,NV,SBIR,Phase I,6,6,0
2017,NV,SBIR,Phase II,2,3,1
2017,NV,STTR,Phase I,3,2,-1
2017,NV,STTR,Phase II,1,2,1
2017,NY,SBIR,Phase I,136,122,-14
2017,NY,SBIR,Phase II,82,80,-2
2017,NY,STTR,Phase I,20,22,2
2017,NY,STTR,Phase II,12,12,0
2017,OH,SBIR,Phase I,120,126,6
2017,OH,SBIR,Phase II,70,75,5
2017,OH,STTR,Phase I,27,28,1
2017,OH,STTR,Phase II,14,15,1
2017,OK,SBIR,Phase I,8,9,1
2017,OK,SBIR,Phase II,7,6,-1
2017,OK,STTR,Phase I,1,1,0
2017,OK,STTR,Phase II,1,1,0
2017,OR,SBIR,Phase I,48,46,-2
2017,OR,SBIR,Phase II,23,25,2
2017,OR,STTR,Phase I,3,3,0
2017,OR,STTR,Phase II,2,2,0
2017,PA,SBIR,Phase I,116,114,-2
2017,PA,SBIR,Phase II,79,78,-1
2017,PA,STTR,Phase I,30,32,2
2017,PA,STTR,Phase II,3,3,0
2017,PR,SBIR,Phase I,7,1,-6
2017,PR,SBIR,Phase II,5,0,-5
2017,PR,STTR,Phase I,1,0,-1
2017,PR,STTR,Phase II,1,0,-1
2017,RI,SBIR,Phase I,5,13,8
2017,RI,SBIR,Phase II,1,7,6
2017,RI,STTR,Phase I,0,1,1
2017,RI,STTR,Phase II,0,1,1
2017,SC,SBIR,Phase I,13,18,5
2017,SC,SBIR,Phase II,10,9,-1
2017,SC,STTR,Phase I,4,4,0
2017,SC,STTR,Phase II,0,0,0
2017,SD,SBIR,Phase I,6,7,1
2017,SD,SBIR,Phase II,1,1,0
2017,SD,STTR,Phase I,1,1,0
2017,SD,STTR,Phase II,0,0,0
2017,TN,SBIR,Phase I,16,16,0
2017,TN,SBIR,Phase II,16,18,2
2017,TN,STTR,Phase I,5,4,-1
2017,TN,STTR,Phase II,5,5,0
2017,TX,SBIR,Phase I,141,151,10
2017,TX,SBIR,Phase II,66,67,1
2017,TX,STTR,Phase I,36,35,-1
2017,TX,STTR,Phase II,19,16,-3
2017,UT,SBIR,Phase I,42,40,-2
2017,UT,SBIR,Phase II,30,26,-4
2017,UT,STTR,Phase I,12,11,-1
2017,UT,STTR,Phase II,3,3,0
2017,VA,SBIR,Phase I,192,192,0
2017,VA,SBIR,Phase II,110,104,-6
2017,VA,STTR,Phase I,29,24,-5
2017,VA,STTR,Phase II,7,6,-1
2017,VT,SBIR,Phase I,11,11,0
2017,VT,SBIR,Phase II,4,5,1
2017,VT,STTR,Phase I,3,4,1
2017,VT,STTR,Phase II,0,0,0
2017,WA,SBIR,Phase I,62,59,-3
2017,WA,SBIR,Phase II,39,41,2
2017,WA,STTR,Phase I,7,8,1
2017,WA,STTR,Phase II,1,1,0
2017,WI,SBIR,Phase I,23,25,2
2017,WI,SBIR,Phase II,11,11,0
2017,WI,STTR,Phase I,7,5,-2
2017,WI,STTR,Phase II,3,3,0
2017,WV,SBIR,Phase I,7,8,1
2017,WV,SBIR,Phase II,4,4,0
2017,WV,STTR,Phase I,0,1,1
2017,WV,STTR,Phase II,0,0,0
2017,WY,SBIR,Phase I,3,4,1
2017,WY,SBIR,Phase II,4,4,0
2017,WY,STTR,Phase I,1,1,0
2017,WY,STTR,Phase II,0,1,1
2018,AK,SBIR,Phase I,0,0,0
2018,AK,SBIR,Phase II,0,0,0
2018,AK,STTR,Phase I,0,0,0
2018,AK,STTR,Phase II,0,0,0
2018,AL,SBIR,Phase I,42,43,1
2018,AL,SBIR,Phase II,38,39,1
2018,AL,STTR,Phase I,12,12,0
2018,AL,STTR,Phase II,10,10,0
2018,AR,SBIR,Phase I,11,11,0
2018,AR,SBIR,Phase II,3,3,0
2018,AR,STTR,Phase I,1,2,1
2018,AR,STTR,Phase II,0,1,1
2018,AS,SBIR,Phase I,0,0,0
2018,AS,SBIR,Phase II,0,0,0
2018,AS,STTR,Phase I,1,0,-1
2018,AS,STTR,Phase II,0,0,0
2018,AZ,SBIR,Phase I,0,44,44
2018,AZ,SBIR,Phase II,37,34,-3
2018,AZ,STTR,Phase I,12,10,-2
2018,AZ,STTR,Phase II,2,2,0
2018,CA,SBIR,Phase I,660,658,-2
2018,CA,SBIR,Phase II,338,329,-9
2018,CA,STTR,Phase I,70,70,0
2018,CA,STTR,Phase II,34,34,0
2018,CO,SBIR,Phase I,139,151,12
2018,CO,SBIR,Phase II,95,102,7
2018,CO,STTR,Phase I,26,28,2
2018,CO,STTR,Phase II,13,16,3
2018,CT,SBIR,Phase I,43,46,3
2018,CT,SBIR,Phase II,17,17,0
2018,CT,STTR,Phase I,8,10,2
2018,CT,STTR,Phase II,1,1,0
2018,DC,SBIR,Phase I,12,10,-2
2018,DC,SBIR,Phase II,4,5,1
2018,DC,STTR,Phase I,3,3,0
2018,DC,STTR,Phase II,1,3,2
2018,DE,SBIR,Phase I,22,17,-5
2018,DE,SBIR,Phase II,10,7,-3
2018,DE,STTR,Phase I,5,6,1
2018,DE,STTR,Phase II,4,3,-1
2018,FL,SBIR,Phase I,106,118,12
2018,FL,SBIR,Phase II,42,45,3
2018,FL,STTR,Phase I,18,15,-3
2018,FL,STTR,Phase II,11,13,2
2018,GA,SBIR,Phase I,27,29,2
2018,GA,SBIR,Phase II,21,19,-2
2018,GA,STTR,Phase I,6,6,0
2018,GA,STTR,Phase II,4,4,0
2018,HI,SBIR,Phase I,13,14,1
2018,HI,SBIR,Phase II,14,14,0
2018,HI,STTR,Phase I,3,4,1
2018,HI,STTR,Phase II,2,2,0
2018,IA,SBIR,Phase I,16,15,-1
2018,IA,SBIR,Phase II,4,4,0
2018,IA,STTR,Phase I,3,3,0
2018,IA,STTR,Phase II,0,0,0
2018,ID,SBIR,Phase I,5,4,-1
2018,ID,SBIR,Phase II,1,1,0
2018,ID,STTR,Phase I,1,0,-1
2018,ID,STTR,Phase II,0,0,0
2018,IL,SBIR,Phase I,69,69,0
2018,IL,SBIR,Phase II,37,35,-2
2018,IL,STTR,Phase I,15,15,0
2018,IL,STTR,Phase II,6,6,0
2018,IN,SBIR,Phase I,24,27,3
2018,IN,SBIR,Phase II,12,13,1
2018,IN,STTR,Phase I,9,8,-1
2018,IN,STTR,Phase II,2,2,0
2018,KS,SBIR,Phase I,16,14,-2
2018,KS,SBIR,Phase II,3,3,0
2018,KS,STTR,Phase I,3,3,0
2018,KS,STTR,Phase II,0,0,0
2018,KY,SBIR,Phase I,26,23,-3
2018,KY,SBIR,Phase II,9,8,-1
2018,KY,STTR,Phase I,7,6,-1
2018,KY,STTR,Phase II,0,0,0
2018,LA,SBIR,Phase I,9,11,2
2018,LA,SBIR,Phase II,8,7,-1
2018,LA,STTR,Phase I,3,3,0
2018,LA,STTR,Phase II,0,0,0
2018,MA,SBIR,Phase I,325,334,9
2018,MA,SBIR,Phase II,201,203,2
2018,MA,STTR,Phase I,51,52,1
2018,MA,STTR,Phase II,22,21,-1
2018,MD,SBIR,Phase I,173,176,3
2018,MD,SBIR,Phase II,74,66,-8
2018,MD,STTR,Phase I,20,21,1
2018,MD,STTR,Phase II,9,13,4
2018,ME,SBIR,Phase I,6,5,-1
2018,ME,SBIR,Phase II,2,3,1
2018,ME,STTR,Phase I,1,1,0
2018,ME,STTR,Phase II,0,0,0
2018,MI,SBIR,Phase I,70,65,-5
2018,MI,SBIR,Phase II,35,35,0
2018,MI,STTR,Phase I,16,15,-1
2018,MI,STTR,Phase II,5,6,1
2018,MN,SBIR,Phase I,42,40,-2
2018,MN,SBIR,Phase II,25,25,0
2018,MN,STTR,Phase I,7,8,1
2018,MN,STTR,Phase II,5,5,0
2018,MO,SBIR,Phase I,35,34,-1
2018,MO,SBIR,Phase II,9,8,-1
2018,MO,STTR,Phase I,13,12,-1
2018,MO,STTR,Phase II,3,2,-1
2018,MS,SBIR,Phase I,2,2,0
2018,MS,SBIR,Phase II,3,4,1
2018,MS,STTR,Phase I,1,1,0
2018,MS,STTR,Phase II,0,0,0
2018,MT,SBIR,Phase I,18,18,0
2018,MT,SBIR,Phase II,9,9,0
2018,MT,STTR,Phase I,5,5,0
2018,MT,STTR,Phase II,0,0,0
2018,NC,SBIR,Phase I,112,117,5
2018,NC,SBIR,Phase II,46,47,1
2018,NC,STTR,Phase I,21,24,3
2018,NC,STTR,Phase II,3,3,0
2018,ND,SBIR,Phase I,1,1,0
2018,ND,SBIR,Phase II,0,0,0
2018,ND,STTR,Phase I,0,0,0
2018,ND,STTR,Phase II,0,0,0
2018,NE,SBIR,Phase I,3,3,0
2018,NE,SBIR,Phase II,4,4,0
2018,NE,STTR,Phase I,0,0,0
2018,NE,STTR,Phase II,0,0,0
2018,NH,SBIR,Phase I,58,56,-2
2018,NH,SBIR,Phase II,25,22,-3
2018,NH,STTR,Phase I,7,5,-2
2018,NH,STTR,Phase II,5,5,0
2018,NJ,SBIR,Phase I,68,67,-1
2018,NJ,SBIR,Phase II,18,18,0
2018,NJ,STTR,Phase I,6,3,-3
2018,NJ,STTR,Phase II,9,9,0
2018,NM,SBIR,Phase I,38,37,-1
2018,NM,SBIR,Phase II,22,20,-2
2018,NM,STTR,Phase I,6,6,0
2018,NM,STTR,Phase II,4,3,-1
2018,NV,SBIR,Phase I,4,5,1
2018,NV,SBIR,Phase II,2,3,1
2018,NV,STTR,Phase I,2,2,0
2018,NV,STTR,Phase II,0,0,0
2018,NY,SBIR,Phase I,136,142,6
2018,NY,SBIR,Phase II,67,63,-4
2018,NY,STTR,Phase I,31,35,4
2018,NY,STTR,Phase II,9,9,0
2018,OH,SBIR,Phase I,118,120,2
2018,OH,SBIR,Phase II,76,73,-3
2018,OH,STTR,Phase I,28,27,-1
2018,OH,STTR,Phase II,10,10,0
2018,OK,SBIR,Phase I,9,7,-2
2018,OK,SBIR,Phase II,5,5,0
2018,OK,STTR,Phase I,2,2,0
2018,OK,STTR,Phase II,0,0,0
2018,OR,SBIR,Phase I,25,24,-1
2018,OR,SBIR,Phase II,35,31,-4
2018,OR,STTR,Phase I,3,3,0
2018,OR,STTR,Phase II,0,1,1
2018,PA,SBIR,Phase I,125,121,-4
2018,PA,SBIR,Phase II,74,70,-4
2018,PA,STTR,Phase I,28,28,0
2018,PA,STTR,Phase II,10,11,1
2018,PR,SBIR,Phase I,4,4,0
2018,PR,SBIR,Phase II,0,0,0
2018,PR,STTR,Phase I,0,0,0
2018,PR,STTR,Phase II,0,0,0
2018,RI,SBIR,Phase I,14,14,0
2018,RI,SBIR,Phase II,3,4,1
2018,RI,STTR,Phase I,2,2,0
2018,RI,STTR,Phase II,0,0,0
2018,SC,SBIR,Phase I,14,15,1
2018,SC,SBIR,Phase II,3,4,1
2018,SC,STTR,Phase I,6,6,0
2018,SC,STTR,Phase II,1,1,0
2018,SD,SBIR,Phase I,5,4,-1
2018,SD,SBIR,Phase II,2,4,2
2018,SD,STTR,Phase I,0,0,0
2018,SD,STTR,Phase II,0,1,1
2018,TN,SBIR,Phase I,21,23,2
2018,TN,SBIR,Phase II,10,9,-1
2018,TN,STTR,Phase I,5,5,0
2018,TN,STTR,Phase II,3,3,0
2018,TX,SBIR,Phase I,130,142,12
2018,TX,SBIR,Phase II,67,66,-1
2018,TX,STTR,Phase I,41,42,1
2018,TX,STTR,Phase II,13,12,-1
2018,UT,SBIR,Phase I,34,36,2
2018,UT,SBIR,Phase II,23,22,-1
2018,UT,STTR,Phase I,8,9,1
2018,UT,STTR,Phase II,7,7,0
2018,VA,SBIR,Phase I,154,157,3
2018,VA,SBIR,Phase II,117,115,-2
2018,VA,STTR,Phase I,29,26,-3
2018,VA,STTR,Phase II,14,11,-3
2018,VT,SBIR,Phase I,7,9,2
2018,VT,SBIR,Phase II,4,4,0
2018,VT,STTR,Phase I,2,3,1
2018,VT,STTR,Phase II,0,0,0
2018,WA,SBIR,Phase I,55,58,3
2018,WA,SBIR,Phase II,32,31,-1
2018,WA,STTR,Phase I,14,13,-1
2018,WA,STTR,Phase II,0,0,0
2018,WI,SBIR,Phase I,32,36,4
2018,WI,SBIR,Phase II,11,11,0
2018,WI,STTR,Phase I,6,6,0
2018,WI,STTR,Phase II,2,1,-1
2018,WV,SBIR,Phase I,5,6,1
2018,WV,SBIR,Phase II,4,5,1
2018,WV,STTR,Phase I,0,0,0
2018,WV,STTR,Phase II,0,1,1
2018,WY,SBIR,Phase I,7,7,0
2018,WY,SBIR,Phase II,2,2,0
2018,WY,STTR,Phase I,1,1,0
2018,WY,STTR,Phase II,0,0,0
2020,AK,SBIR,Phase I,3,3,0
2020,AK,SBIR,Phase II,0,0,0
2020,AK,STTR,Phase I,0,0,0
2020,AK,STTR,Phase II,0,0,0
2020,AL,SBIR,Phase I,68,71,3
2020,AL,SBIR,Phase II,37,38,1
2020,AL,STTR,Phase I,18,18,0
2020,AL,STTR,Phase II,8,8,0
2020,AR,SBIR,Phase I,11,11,0
2020,AR,SBIR,Phase II,7,8,1
2020,AR,STTR,Phase I,4,4,0
2020,AR,STTR,Phase II,0,0,0
2020,AZ,SBIR,Phase I,74,77,3
2020,AZ,SBIR,Phase II,35,39,4
2020,AZ,STTR,Phase I,20,18,-2
2020,AZ,STTR,Phase II,5,4,-1
2020,CA,SBIR,Phase I,834,813,-21
2020,CA,SBIR,Phase II,466,489,23
2020,CA,STTR,Phase I,120,121,1
2020,CA,STTR,Phase II,43,42,-1
2020,CO,SBIR,Phase I,199,208,9
2020,CO,SBIR,Phase II,97,104,7
2020,CO,STTR,Phase I,25,26,1
2020,CO,STTR,Phase II,15,14,-1
2020,CT,SBIR,Phase I,36,41,5
2020,CT,SBIR,Phase II,28,33,5
2020,CT,STTR,Phase I,7,7,0
2020,CT,STTR,Phase II,3,3,0
2020,DC,SBIR,Phase I,29,24,-5
2020,DC,SBIR,Phase II,12,12,0
2020,DC,STTR,Phase I,4,3,-1
2020,DC,STTR,Phase II,1,1,0
2020,DE,SBIR,Phase I,19,18,-1
2020,DE,SBIR,Phase II,10,12,2
2020,DE,STTR,Phase I,11,10,-1
2020,DE,STTR,Phase II,2,1,-1
2020,FL,SBIR,Phase I,128,137,9
2020,FL,SBIR,Phase II,49,58,9
2020,FL,STTR,Phase I,21,25,4
2020,FL,STTR,Phase II,11,15,4
2020,GA,SBIR,Phase I,42,43,1
2020,GA,SBIR,Phase II,26,27,1
2020,GA,STTR,Phase I,16,19,3
2020,GA,STTR,Phase II,5,4,-1
2020,HI,SBIR,Phase I,25,24,-1
2020,HI,SBIR,Phase II,19,21,2
2020,HI,STTR,Phase I,2,2,0
2020,HI,STTR,Phase II,1,1,0
2020,IA,SBIR,Phase I,5,7,2
2020,IA,SBIR,Phase II,11,11,0
2020,IA,STTR,Phase I,3,3,0
2020,IA,STTR,Phase II,1,1,0
2020,ID,SBIR,Phase I,9,8,-1
2020,ID,SBIR,Phase II,4,5,1
2020,ID,STTR,Phase I,1,0,-1
2020,ID,STTR,Phase II,0,0,0
2020,IL,SBIR,Phase I,74,78,4
2020,IL,SBIR,Phase II,43,43,0
2020,IL,STTR,Phase I,20,17,-3
2020,IL,STTR,Phase II,7,8,1
2020,IN,SBIR,Phase I,24,28,4
2020,IN,SBIR,Phase II,17,19,2
2020,IN,STTR,Phase I,8,10,2
2020,IN,STTR,Phase II,7,7,0
2020,KS,SBIR,Phase I,14,13,-1
2020,KS,SBIR,Phase II,7,8,1
2020,KS,STTR,Phase I,2,2,0
2020,KS,STTR,Phase II,2,2,0
2020,KY,SBIR,Phase I,21,15,-6
2020,KY,SBIR,Phase II,13,9,-4
2020,KY,STTR,Phase I,4,2,-2
2020,KY,STTR,Phase II,1,1,0
2020,LA,SBIR,Phase I,14,17,3
2020,LA,SBIR,Phase II,9,9,0
2020,LA,STTR,Phase I,6,6,0
2020,LA,STTR,Phase II,1,1,0
2020,MA,SBIR,Phase I,428,429,1
2020,MA,SBIR,Phase II,204,210,6
2020,MA,STTR,Phase I,60,60,0
2020,MA,STTR,Phase II,26,26,0
2020,MD,SBIR,Phase I,178,201,23
2020,MD,SBIR,Phase II,112,116,4
2020,MD,STTR,Phase I,41,40,-1
2020,MD,STTR,Phase II,15,16,1
2020,ME,SBIR,Phase I,8,9,1
2020,ME,SBIR,Phase II,4,4,0
2020,ME,STTR,Phase I,2,2,0
2020,ME,STTR,Phase II,0,0,0
2020,MH,SBIR,Phase I,0,0,0
2020,MH,SBIR,Phase II,0,0,0
2020,MH,STTR,Phase I,0,0,0
2020,MH,STTR,Phase II,0,0,0
2020,MI,SBIR,Phase I,81,81,0
2020,MI,SBIR,Phase II,40,44,4
2020,MI,STTR,Phase I,15,15,0
2020,MI,STTR,Phase II,11,11,0
2020,MN,SBIR,Phase I,41,45,4
2020,MN,SBIR,Phase II,29,30,1
2020,MN,STTR,Phase I,7,7,0
2020,MN,STTR,Phase II,0,0,0
2020,MO,SBIR,Phase I,32,31,-1
2020,MO,SBIR,Phase II,16,17,1
2020,MO,STTR,Phase I,5,5,0
2020,MO,STTR,Phase II,3,3,0
2020,MS,SBIR,Phase I,3,3,0
2020,MS,SBIR,Phase II,2,1,-1
2020,MS,STTR,Phase I,0,0,0
2020,MS,STTR,Phase II,0,0,0
2020,MT,SBIR,Phase I,8,10,2
2020,MT,SBIR,Phase II,7,9,2
2020,MT,STTR,Phase I,6,6,0
2020,MT,STTR,Phase II,2,2,0
2020,NC,SBIR,Phase I,96,109,13
2020,NC,SBIR,Phase II,73,79,6
2020,NC,STTR,Phase I,31,32,1
2020,NC,STTR,Phase II,10,11,1
2020,ND,SBIR,Phase I,2,4,2
2020,ND,SBIR,Phase II,0,0,0
2020,ND,STTR,Phase I,0,0,0
2020,ND,STTR,Phase II,0,0,0
2020,NE,SBIR,Phase I,12,13,1
2020,NE,SBIR,Phase II,3,3,0
2020,NE,STTR,Phase I,2,2,0
2020,NE,STTR,Phase II,0,0,0
2020,NH,SBIR,Phase I,37,40,3
2020,NH,SBIR,Phase II,40,47,7
2020,NH,STTR,Phase I,8,7,-1
2020,NH,STTR,Phase II,2,2,0
2020,NJ,SBIR,Phase I,67,68,1
2020,NJ,SBIR,Phase II,37,39,2
2020,NJ,STTR,Phase I,24,23,-1
2020,NJ,STTR,Phase II,1,1,0
2020,NM,SBIR,Phase I,33,34,1
2020,NM,SBIR,Phase II,12,14,2
2020,NM,STTR,Phase I,8,6,-2
2020,NM,STTR,Phase II,6,5,-1
2020,NV,SBIR,Phase I,11,15,4
2020,NV,SBIR,Phase II,2,3,1
2020,NV,STTR,Phase I,0,1,1
2020,NV,STTR,Phase II,1,1,0
2020,NY,SBIR,Phase I,182,172,-10
2020,NY,SBIR,Phase II,100,99,-1
2020,NY,STTR,Phase I,32,32,0
2020,NY,STTR,Phase II,17,17,0
2020,OH,SBIR,Phase I,150,146,-4
2020,OH,SBIR,Phase II,83,82,-1
2020,OH,STTR,Phase I,37,37,0
2020,OH,STTR,Phase II,12,11,-1
2020,OK,SBIR,Phase I,11,11,0
2020,OK,SBIR,Phase II,7,9,2
2020,OK,STTR,Phase I,4,4,0
2020,OK,STTR,Phase II,3,3,0
2020,OR,SBIR,Phase I,51,51,0
2020,OR,SBIR,Phase II,21,20,-1
2020,OR,STTR,Phase I,9,9,0
2020,OR,STTR,Phase II,0,0,0
2020,PA,SBIR,Phase I,138,138,0
2020,PA,SBIR,Phase II,90,93,3
2020,PA,STTR,Phase I,30,29,-1
2020,PA,STTR,Phase II,16,16,0
2020,PR,SBIR,Phase I,0,0,0
2020,PR,SBIR,Phase II,2,2,0
2020,PR,STTR,Phase I,0,0,0
2020,PR,STTR,Phase II,0,0,0
2020,RI,SBIR,Phase I,15,17,2
2020,RI,SBIR,Phase II,8,8,0
2020,RI,STTR,Phase I,3,2,-1
2020,RI,STTR,Phase II,0,0,0
2020,SC,SBIR,Phase I,25,25,0
2020,SC,SBIR,Phase II,10,11,1
2020,SC,STTR,Phase I,5,6,1
2020,SC,STTR,Phase II,0,1,1
2020,SD,SBIR,Phase I,8,5,-3
2020,SD,SBIR,Phase II,4,3,-1
2020,SD,STTR,Phase I,4,4,0
2020,SD,STTR,Phase II,2,2,0
2020,TN,SBIR,Phase I,34,38,4
2020,TN,SBIR,Phase II,19,18,-1
2020,TN,STTR,Phase I,11,11,0
2020,TN,STTR,Phase II,5,5,0
2020,TX,SBIR,Phase I,229,239,10
2020,TX,SBIR,Phase II,85,92,7
2020,TX,STTR,Phase I,46,47,1
2020,TX,STTR,Phase II,13,13,0
2020,UT,SBIR,Phase I,57,57,0
2020,UT,SBIR,Phase II,36,41,5
2020,UT,STTR,Phase I,5,3,-2
2020,UT,STTR,Phase II,2,1,-1
2020,VA,SBIR,Phase I,243,249,6
2020,VA,SBIR,Phase II,152,154,2
2020,VA,STTR,Phase I,29,31,2
2020,VA,STTR,Phase II,18,17,-1
2020,VT,SBIR,Phase I,14,14,0
2020,VT,SBIR,Phase II,9,9,0
2020,VT,STTR,Phase I,0,0,0
2020,VT,STTR,Phase II,2,2,0
2020,WA,SBIR,Phase I,82,80,-2
2020,WA,SBIR,Phase II,51,50,-1
2020,WA,STTR,Phase I,16,19,3
2020,WA,STTR,Phase II,2,2,0
2020,WI,SBIR,Phase I,18,21,3
2020,WI,SBIR,Phase II,11,14,3
2020,WI,STTR,Phase I,8,7,-1
2020,WI,STTR,Phase II,2,2,0
2020,WV,SBIR,Phase I,2,6,4
2020,WV,SBIR,Phase II,3,2,-1
2020,WV,STTR,Phase I,3,4,1
2020,WV,STTR,Phase II,3,3,0
2020,WY,SBIR,Phase I,7,7,0
2020,WY,SBIR,Phase II,5,6,1
2020,WY,STTR,Phase I,5,5,0
2020,WY,STTR,Phase II,2,2,0
2021,AK,SBIR,Phase I,3,1,-2
2021,AK,SBIR,Phase II,0,0,0
2021,AK,STTR,Phase I,1,0,-1
2021,AK,STTR,Phase II,0,0,0
2021,AL,SBIR,Phase I,56,59,3
2021,AL,SBIR,Phase II,35,37,2
2021,AL,STTR,Phase I,20,20,0
2021,AL,STTR,Phase II,6,6,0
2021,AR,SBIR,Phase I,8,8,0
2021,AR,SBIR,Phase II,5,5,0
2021,AR,STTR,Phase I,6,7,1
2021,AR,STTR,Phase II,0,1,1
2021,AZ,SBIR,Phase I,60,61,1
2021,AZ,SBIR,Phase II,44,45,1
2021,AZ,STTR,Phase I,17,17,0
2021,AZ,STTR,Phase II,11,9,-2
2021,CA,SBIR,Phase I,750,764,14
2021,CA,SBIR,Phase II,427,425,-2
2021,CA,STTR,Phase I,165,163,-2
2021,CA,STTR,Phase II,43,43,0
2021,CO,SBIR,Phase I,180,181,1
2021,CO,SBIR,Phase II,107,111,4
2021,CO,STTR,Phase I,41,45,4
2021,CO,STTR,Phase II,11,11,0
2021,CT,SBIR,Phase I,34,33,-1
2021,CT,SBIR,Phase II,13,15,2
2021,CT,STTR,Phase I,10,10,0
2021,CT,STTR,Phase II,2,2,0
2021,DC,SBIR,Phase I,19,18,-1
2021,DC,SBIR,Phase II,7,6,-1
2021,DC,STTR,Phase I,2,2,0
2021,DC,STTR,Phase II,1,1,0
2021,DE,SBIR,Phase I,24,22,-2
2021,DE,SBIR,Phase II,9,6,-3
2021,DE,STTR,Phase I,7,8,1
2021,DE,STTR,Phase II,4,6,2
