firm,agency,command,state,prior_sbir,transition_contract,transition_value,sbir_value,year,description,source_url,transition_type,provenance,stratum
Trex Enterprises Corporation,Navy,NAVWAR,CA,N02-104,,"$16,276,142","$3,318,965",2014,Daytime Electronic Stellar Imaging,https://navysbir.us/success/,procurement,independent,marquee
"Vehicle Control Technologies, Inc.",Navy,NAVSEA,VA,N06-186,,"$9,100,000","$864,896",2014,"Compact, Lightweight Sensor Handling System for Unmanned Vehicles",https://navysbir.us/success/,procurement,independent,marquee
3 Phoenix Inc.,Navy,ONR,VA,N04-138,,"$97,518,368","$3,582,336",2013,iPON Based Real Time Synchronization and Fusion Technology,https://navysbir.us/success/,procurement,independent,marquee
"Aptima, Inc.",Navy,ONR,MA,N07-089,,"$2,261,922","$836,382",2013,CoVE - Collaborative Visualization Environment,https://navysbir.us/success/,procurement,independent,marquee
Aret� Associates,Navy,ONR,FL,N96-150,,"$34,788,682","$3,723,861",2013,Development of an EO Wave Imaging System on the  Pelican  Aircraft,https://navysbir.us/success/,procurement,independent,marquee
Basic Commerce and Industries Inc.,Navy,ONR,NJ,N06-072,,"$6,645,851","$571,723",2013,Modular Software Architecture for Advanced Weather Radars,https://navysbir.us/success/,procurement,independent,marquee
"C3I, Inc.",Navy,NAVSEA,NH,N04-081,,"$8,115,000","$797,931",2013,Advanced Lighting System (ALS�)/Advanced Communication and Control System (ACCS�),https://navysbir.us/success/,procurement,independent,marquee
Creare Inc.,Navy,NAVAIR,NH,N06-T023,,"$3,208,959","$1,523,497",2013,A Compact Swaging Machine for Aircraft Carrier Purchase Cable Terminals,https://navysbir.us/success/,procurement,independent,marquee
Cybernet Systems Corporation,Navy,NAVSEA,MI,N01-093,,"$6,749,414","$696,923",2013,Advanced Personal Communicator (APC) and the Shipboard Wireless Maintenance Assistant (SWMA),https://navysbir.us/success/,procurement,independent,marquee
"Daniel H. Wagner Associates, Inc.",Navy,NAVSEA,PA,N05-046,,"$3,767,527","$1,852,092",2013,Multi-Sensor Data Fusion System (MSDFS),https://navysbir.us/success/,procurement,independent,marquee
"Daniel H. Wagner Associates, Inc.",Navy,NAVSEA,PA,N08-057,,"$3,333,643","$1,599,403",2013,Network Centric Data Fusion (NCDF),https://navysbir.us/success/,procurement,independent,marquee
Impact Technologies,Navy,ONR,PA,N03-105,,"$2,877,899","$829,918",2013,Machinery Health Monitoring for Shipyard Productivity,https://navysbir.us/success/,procurement,independent,marquee
Innovative Defense Technologies,Navy,ONR,VA,N05-163,,"$26,795,765","$2,338,947",2013,Tools for Rapid Insertion or Adaptation of Combat System Capabilities,https://navysbir.us/success/,procurement,independent,marquee
"KCF Technologies, Inc.",Navy,ONR,PA,N07-076,,"$3,350,000","$815,641",2013,Ultra-Compact Power Harvesting for Self-Powered Aircraft Sensors,https://navysbir.us/success/,procurement,independent,marquee
L3Harris - Chesapeake Sciences Corporation,Navy,NAVSEA,MD,N05-125,,"$10,137,501","$1,224,178",2013,Compact Towed Array,https://navysbir.us/success/,procurement,independent,marquee
"Makai Ocean Engineering, Inc.",Navy,NAVWAR,HI,N99-171,,"$15,150,000","$850,000",2013,Near Real-Time Installation Modeling of Cables and Sensor Arrays Deployed from a Towed Body,https://navysbir.us/success/,procurement,independent,marquee
"Metron, Inc.",Navy,NAVWAR,VA,N89-017,,"$78,576,500","$573,800",2013,Development of a Multiple Warfare Architectural Assessment Model,https://navysbir.us/success/,procurement,independent,marquee
Mid� Technology Corporation,Navy,NAVSEA,MA,N04-073,,"$11,406,857","$2,683,029",2013,HydroActive Bulkhead Shaft Seal,https://navysbir.us/success/,procurement,independent,marquee
"MIKEL, Inc.",Navy,NAVSEA,MA,N05-149,,"$3,122,334","$1,098,001",2013,Combat Systems of the Future,https://navysbir.us/success/,procurement,independent,marquee
Mikros,Navy,NAVSEA,PA,N02-039,,"$9,016,185","$1,100,636",2013,Multiple Function Distributed Test and Analysis Tool (MFDAT),https://navysbir.us/success/,procurement,independent,marquee
"Ocean Power Technologies, Inc.",Navy,ONR,NJ,N00-116,,"$54,941,230","$1,054,730",2013,Efficiency Improvements in Modular Ocean Wave Powered Generators,https://navysbir.us/success/,procurement,independent,marquee
Pathfinder Systems,Navy,NAVAIR,CO,N03-190,,"$23,797,980","$3,347,441",2013,Marine Common Aircrew Trainer Prototype,https://navysbir.us/success/,procurement,independent,marquee
Plasan US (formerly KaZaK Composites),Navy,NAVSEA,MA,N04-213,,"$53,446,717","$850,000",2013,Hybrid Stanchions and Stanchion Accessories for CLF Ships,https://navysbir.us/success/,procurement,independent,marquee
"Promia, Inc.",Navy,NAVWAR,CA,N99-167,,"$34,950,390","$2,900,000",2013,Intelligent Agent Security Module (IASM),https://navysbir.us/success/,procurement,independent,marquee
Real-Time Innovations,Navy,NAVAIR,CA,N05-139,,"$19,401,035","$898,506",2013,"Data Distribution Service (DDS) Performance, Portability, and Security",https://navysbir.us/success/,procurement,independent,marquee
"Scientific Solutions, Inc.",Navy,ONR,NH,N02-207/1,,"$11,127,499","$3,826,903",2013,Swimmer Detection Sonar Network: Transportable System and Cost-Saving Enhancements,https://navysbir.us/success/,procurement,independent,marquee
"Sierra Lobo, Inc.",Navy,ONR,OH,N01-T005,,"$5,097,000","$513,306",2013,Cryo-Force Power-Cell� (Cryogenic Power System for Unmanned Underwater Vehicles),https://navysbir.us/success/,procurement,independent,marquee
Syntonics LLC,Navy,NAVWAR,MD,N07-149,,"$23,979,764","$1,309,826",2013,RF-over-Fiber Links for the Wideband Networking Waveform (WNW),https://navysbir.us/success/,procurement,independent,marquee
"Thermal Wave Imaging, Inc.",Navy,NAVAIR,MI,N06-T011,,"$3,600,000","$474,977",2013,Comprehensive Inspection of Turbine Hot Section Blades and Vanes Using Active Thermography,https://navysbir.us/success/,procurement,independent,marquee
Trident Systems,Navy,ONR,VA,N01-136,,"$18,503,010","$834,318",2013,Digital Cellular-Phone Transceiver-based Foliage Penetration Interferometric SAR for EO/IR Sensor Fusion ATR,https://navysbir.us/success/,procurement,independent,marquee
"Aerodyne Research, Inc.",Navy,ONR,MA,N03-227,,"$7,500,000","$849,000",2011,Aerosol Mass Spectrometer (AMS) for Sampling of Aerosol Particles in Real-time,https://navysbir.us/success/,procurement,independent,marquee
"Diversified Technologies, Inc.",Navy,ONR,MA,N98-003,,"$42,000,000","$1,200,000",2011,Advanced Solid State High Repetition Rate Modulator,https://navysbir.us/success/,procurement,independent,marquee
"Triton Systems, Inc.",Navy,ONR,MA,N02-207/2,,"$4,600,000","$524,000",2011,Fire Retardant Blast Mitigation for Sea Vessels,https://navysbir.us/success/,procurement,independent,marquee
