firm,agency,command,prior_sbir,prior_award_match,prior_award_count,transition_contract,transition_value,recipient_uei,year,transition_type,stratum,provenance,has_contract_id,source_url,description
"PEOPLETEC, INC.",MDA,Missile Defense Agency,FA9550-16-C-0003,exact,5,HQ086022F0006,314070.0,RD9KLGSLJGX9,2022,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III R&D TASK ORDER 0003 MIGRATION OF THE MASTER LEGACY LETHALITY DATABASE (LLD) REPOSITORY
IERUS TECHNOLOGIES INC,MDA,Missile Defense Agency,6SVL4-22-C-0016,exact,98,HQ086023F0003,1195365.0,H1ZRXJKFZ4K7,2023,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III R & D
"PEOPLETEC, INC.",MDA,Missile Defense Agency,FA9550-16-C-0003,exact,5,HQ086023F0005,312726.0,RD9KLGSLJGX9,2023,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III RESEARCH AND DEVELOPMENT
"PEOPLETEC, INC.",MDA,Missile Defense Agency,FA9550-16-C-0003,exact,5,HQ086023F0006,275471.0,RD9KLGSLJGX9,2023,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III ODCS
WYZKYDS CONSULTING LLC,MDA,Missile Defense Agency,HQ0860-22-C-7002,exact,1,HQ086023C7200,21494726.0,KSQSKYF8V7G9,2023,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,"SBIR PH III R&D THERMALLY INSENSITIVE, RADIATION HARDENED TELESCOPE"
"VALT ENTERPRIZES, INC.",MDA,Missile Defense Agency,HQ0860-21-C-7100,exact,1,HQ086024C7303,17307609.0,K6W5KB4YG528,2024,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III
"CONTROL VISION, INC.",MDA,Missile Defense Agency,FA8650-12-M-2276,exact,20,HQ086024C7300,4868184.47,R8JXQKWDQHK4,2024,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,"SBIR PHASE III R&D, IRBM/ICBM CAMERA UPGRADE"
"WELKIN SCIENCES, LLC",MDA,Missile Defense Agency,FA8750-13-C-0215,exact,37,HQ085224C7001,1340313.0,UMMSV9GTE5K1,2024,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,CONFIGURABLE LINK TEST SET-LOW COST (COLTS-LC) DISTRIBUTION UNITS SBIR PHASE III
"MODUS OPERANDI, INC.",MDA,Missile Defense Agency,06.01-3370,exact,165,HQ086024C7301,642299.0,HMADMY8YKVP5,2024,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,"SBIR PHASE III, FRAUD, WASTE, AND ABUSE TOOL/DUE DILIGENCE"
ULTRAMET,MDA,Missile Defense Agency,0231685,exact,392,HQ086025C7300,1764988.0,N8ZRMWX85NZ6,2025,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III R&D DEVELOPMENT AND DEMONSTRATION OF CVD HIGH TEMPERATURE OXIDATION PROTECTION COATINGS ON SCALABLE C/C MATERIALS
POLARIS SENSOR TECHNOLOGIES INC,MDA,Missile Defense Agency,140D04-19-C-0027,exact,133,HQ086025C7301,1561376.0,QLWWT11B15B3,2025,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III R&D(TASK 1 - 2): LONGER RANGE MANEUVERABLE INTERCEPTOR APERTURE TECHNOLOGY: AO MODEL VALIDATION & AUTOMATED END TO END AEROTHERMAL AO SIM
