agency,mechanism,program,phase,fiscal_year,applications,awards,success_rate,dollars_awarded,mean_award_size,award_size_basis,source_id
NIH,nih_sttr_fast_track,STTR,Fast Track,2024,145,29,0.2,11167449,385084.4483,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_ii,STTR,II,2024,95,20,0.2105263158,18781214,939060.7,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_iib,STTR,IIB,2024,5,1,0.2,631721,631721,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_i,SBIR,I,2025,4468,349,0.07811101164,123120118,352779.7077,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_fast_track,SBIR,Fast Track,2025,763,62,0.08125819135,24561668,396155.9355,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii,SBIR,II,2025,408,90,0.2205882353,99895597,1109951.078,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii_direct,SBIR,II-Direct,2025,1344,154,0.1145833333,171642474,1114561.519,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_iib,SBIR,IIB,2025,123,30,0.243902439,34485379,1149512.633,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_crp,SBIR,CRP,2025,147,24,0.1632653061,24134206,1005591.917,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_i,STTR,I,2025,1390,175,0.1258992806,60344708,344826.9029,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_fast_track,STTR,Fast Track,2025,169,18,0.1065088757,6824208,379122.6667,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_ii,STTR,II,2025,99,27,0.2727272727,25807976,955850.963,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_iib,STTR,IIB,2025,4,2,0.5,2399984,1199992,competing_year_total_funding,nih_report_t215_2025
